Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-06-04 00:00:00,2538.1,2546.32,2486,2514.36,987.47,2484945.77,2516.47
2017-06-04 01:00:00,2514.36,2530.26,2511.81,2519.33,273.16,688046.13,2518.87
2017-06-04 02:00:00,2517.28,2522.2,2477.99,2516.63,483.37,1205469.56,2493.91
2017-06-04 03:00:00,2515.29,2525.92,2506.97,2513.91,201.19,506793.6,2518.97
2017-06-04 04:00:00,2512.94,2540.02,2504.04,2527.76,257.19,648747.16,2522.44
2017-06-04 05:00:00,2533.21,2547.53,2513.65,2526.95,311.34,787762.23,2530.26
2017-06-04 06:00:00,2526.95,2532,2508.96,2531.6,324.54,818116.35,2520.86
2017-06-04 07:00:00,2530.99,2530.99,2504.55,2525,272.95,686415.64,2514.77
2017-06-04 08:00:00,2525.01,2568,2514.59,2554.59,496.29,1260628.16,2540.08
2017-06-04 09:00:00,2549.87,2569,2542.35,2548.01,341.22,872267.37,2556.28
2017-06-04 10:00:00,2548.02,2549.94,2513.77,2528.52,404.47,1024658.21,2533.33
2017-06-04 11:00:00,2525.05,2548.02,2525.05,2547.97,322.04,817787.23,2539.41
2017-06-04 12:00:00,2547.97,2555.79,2533.63,2542,584.26,1486325.05,2543.96
2017-06-04 13:00:00,2542,2550,2521.13,2527.85,653.64,1659234.87,2538.45
2017-06-04 14:00:00,2521.51,2532.99,2510.2,2525,327.98,826370.94,2519.6
2017-06-04 15:00:00,2525,2534.19,2521.53,2527.11,127.86,323365.32,2529
2017-06-04 16:00:00,2526.07,2531.06,2510,2520.47,217.53,548883.32,2523.26
2017-06-04 17:00:00,2522.49,2533.73,2516.66,2528.82,243.66,615521.79,2526.14
2017-06-04 18:00:00,2526.52,2532.64,2512.96,2526.34,189.33,478139.1,2525.44
2017-06-04 19:00:00,2523.31,2526.28,2484,2484.64,286.76,718792.02,2506.59
2017-06-04 20:00:00,2483.87,2512.96,2460,2505.26,822.53,2044491.46,2485.63
2017-06-04 21:00:00,2508.17,2519.99,2502.43,2510.18,294.45,739193.98,2510.4
2017-06-04 22:00:00,2509.01,2528.71,2501,2527.43,230.57,579222.54,2512.11
2017-06-04 23:00:00,2525.98,2539.99,2519.46,2530.27,174.82,442187.25,2529.33
2017-06-05 00:00:00,2530.27,2555.27,2525.28,2555.01,257.78,654406.92,2538.65
2017-06-05 01:00:00,2555.24,2568.9,2542.61,2552,598.44,1529836.01,2556.39
2017-06-05 02:00:00,2554.54,2566.1,2548.59,2566.1,197.76,505562.54,2556.44
2017-06-05 03:00:00,2566.49,2588.66,2563.33,2583.67,485.41,1250766.16,2576.73
2017-06-05 04:00:00,2584.11,2589.5,2573.78,2581,346.06,893696.33,2582.47
2017-06-05 05:00:00,2581.08,2584.48,2558.23,2568.15,327.98,842470.05,2568.68
2017-06-05 06:00:00,2567.69,2590,2562.68,2589.98,239.95,618335.42,2576.94
2017-06-05 07:00:00,2586,2594.5,2571.88,2573.5,421.82,1089315.17,2582.4
2017-06-05 08:00:00,2574.99,2583.97,2573.01,2578.95,325.02,838084.06,2578.54
2017-06-05 09:00:00,2574.16,2578.9,2563.86,2577.91,404.23,1039203.25,2570.8
2017-06-05 10:00:00,2577.91,2595,2577,2592.97,749.99,1938533.62,2584.74
2017-06-05 11:00:00,2592.95,2594,2574.97,2594,359.13,928219.27,2584.64
2017-06-05 12:00:00,2594,2596.96,2570,2593.9,422.53,1092386.13,2585.34
2017-06-05 13:00:00,2589.7,2596,2582.16,2589.29,391.5,1014030.15,2590.13
2017-06-05 14:00:00,2589.51,2616,2586.02,2615.7,1038.47,2699073.84,2599.08
2017-06-05 15:00:00,2615.65,2627.47,2610.42,2618.86,708.17,1855574.08,2620.22
2017-06-05 16:00:00,2618,2620,2608.25,2610,226.63,592449.27,2614.19
2017-06-05 17:00:00,2610.01,2628.08,2610,2623.56,216.38,567456.54,2622.55
2017-06-05 18:00:00,2627.5,2627.57,2613.22,2621.95,306.34,802243.43,2618.8
2017-06-05 19:00:00,2621.95,2650,2618.46,2634.99,1082.32,2854033.76,2636.95
2017-06-05 20:00:00,2633.88,2658.75,2633.42,2655.45,602.12,1595142.63,2649.2
2017-06-05 21:00:00,2655.45,2689.09,2645.73,2665.99,1318.03,3517344.98,2668.64
2017-06-05 22:00:00,2665.97,2686,2653.85,2675.15,588.27,1573247.25,2674.37
2017-06-05 23:00:00,2674.01,2699.35,2669.14,2698,607.11,1627801.46,2681.23
2017-06-06 00:00:00,2698,2749.59,2691.2,2747.92,1166.04,3175909.98,2723.67
2017-06-06 01:00:00,2747.99,2755,2702.24,2755,818.12,2233391.81,2729.9
2017-06-06 02:00:00,2755.61,2850.05,2748.12,2847.01,2137.89,5984450.46,2799.23
2017-06-06 03:00:00,2847.03,2877.47,2785.13,2811.6,1469.51,4163261.02,2833.09
2017-06-06 04:00:00,2811.68,2854.51,2811.68,2840.64,668.53,1896484,2836.78
2017-06-06 05:00:00,2841.42,2849.99,2805,2840.76,769.34,2175196.52,2827.35
2017-06-06 06:00:00,2839.54,2862.76,2827.11,2837.66,848.15,2412307.51,2844.19
2017-06-06 07:00:00,2834.64,2850.74,2834.63,2835.67,648.82,1843362.16,2841.08
2017-06-06 08:00:00,2835.66,2868.75,2834.63,2861.52,1050.4,2999696.83,2855.78
2017-06-06 09:00:00,2861.47,2884.32,2851.39,2876,811.86,2330229.5,2870.23
2017-06-06 10:00:00,2875.87,2877,2843.43,2859.69,538.99,1543226.67,2863.18
2017-06-06 11:00:00,2859.63,2876.33,2856.91,2865,195.39,560284.97,2867.59
2017-06-06 12:00:00,2865,2922,2858.95,2908.43,1315.95,3803026.02,2889.94
2017-06-06 13:00:00,2909.97,2933,2899,2920.26,880.53,2567517.87,2915.88
2017-06-06 14:00:00,2920.99,2921.59,2806.26,2818.99,2111.37,6042273.47,2861.78
2017-06-06 15:00:00,2818.99,2855,2816,2839.7,1307.33,3710170.99,2837.97
2017-06-06 16:00:00,2839.97,2840,2689.4,2741.82,3908.73,10784412.34,2759.06
2017-06-06 17:00:00,2734.05,2800,2695.87,2776.41,2013.23,5539632.42,2751.61
2017-06-06 18:00:00,2777.92,2841.55,2776.02,2817.9,907.67,2550923.56,2810.4
2017-06-06 19:00:00,2819,2870,2812.15,2860.57,777.96,2210058.62,2840.84
2017-06-06 20:00:00,2860.58,2874.94,2829.55,2871.01,754.31,2148663.53,2848.52
2017-06-06 21:00:00,2872,2875,2849.95,2855.9,444.47,1272914.61,2863.92
2017-06-06 22:00:00,2855.7,2889.89,2832.99,2860.07,826.52,2369665.24,2867.03
2017-06-06 23:00:00,2852.59,2889.89,2847.6,2880.74,324.54,932046.66,2871.94
2017-06-07 00:00:00,2875.71,2893.28,2822.04,2826.11,522.41,1498485.65,2868.42
2017-06-07 01:00:00,2824.8,2863.99,2802.99,2846.35,818.07,2317307.65,2832.67
2017-06-07 02:00:00,2849.99,2885.21,2841.52,2874.74,336.17,962104.47,2861.96
2017-06-07 03:00:00,2867.83,2879.98,2847.9,2859.41,128.83,369102.72,2865.15
2017-06-07 04:00:00,2857.62,2878.03,2850,2861.68,241.98,693490.73,2865.93
2017-06-07 05:00:00,2861.72,2868.53,2855.03,2860,132.45,378891.07,2860.61
2017-06-07 06:00:00,2858.92,2859.34,2782.02,2817.97,1039.01,2930492.71,2820.47
2017-06-07 07:00:00,2813.01,2847.25,2794.88,2834.21,607.18,1712746.75,2820.84
2017-06-07 08:00:00,2834.19,2838.6,2809,2821.95,351.76,992316,2820.98
2017-06-07 09:00:00,2821.92,2850.14,2821.9,2850.14,360.59,1022134.26,2834.65
2017-06-07 10:00:00,2850,2868,2841.74,2860.92,370.03,1057122.14,2856.87
2017-06-07 11:00:00,2860.9,2863.99,2836,2849.79,507.64,1446240.87,2848.96
2017-06-07 12:00:00,2849.71,2869.64,2847.15,2857.76,545.2,1559006.84,2859.52
2017-06-07 13:00:00,2857.85,2861,2832,2839.77,848.29,2411763.2,2843.1
2017-06-07 14:00:00,2837.37,2845,2800,2821.01,1096.79,3097632.55,2824.28
2017-06-07 15:00:00,2821.01,2826.93,2754.67,2800,911.95,2542969.54,2788.49
2017-06-07 16:00:00,2799.97,2825.33,2770,2823.6,707.29,1976053.52,2793.82
2017-06-07 17:00:00,2821.44,2831.27,2804.76,2809.01,426.8,1203789.36,2820.52
2017-06-07 18:00:00,2809.02,2816.72,2764.66,2799.08,704.17,1967239.51,2793.7
2017-06-07 19:00:00,2799.03,2808.23,2777.47,2778.01,408.16,1137787.87,2787.58
2017-06-07 20:00:00,2778,2782.59,2730,2742.05,1014.01,2796075,2757.43
2017-06-07 21:00:00,2735.67,2754.98,2635,2635,2298.7,6204716.53,2699.23
2017-06-07 22:00:00,2635,2728.75,2612.5,2712.93,1795.24,4783727.99,2664.67
2017-06-07 23:00:00,2712.93,2715.56,2673,2683.03,794.35,2144229.53,2699.35
2017-06-08 00:00:00,2680.24,2690.07,2613.13,2675.5,859.95,2282862.9,2654.64
2017-06-08 01:00:00,2672.71,2722.25,2654.15,2717.15,599.64,1610010,2684.98
2017-06-08 02:00:00,2722.22,2740,2691.84,2727.22,389.97,1059473.55,2716.82
2017-06-08 03:00:00,2730.44,2730.57,2704.68,2728.76,354.62,963500.07,2717
2017-06-08 04:00:00,2728.76,2779.99,2726,2779,383.55,1057249.79,2756.46
2017-06-08 05:00:00,2778.98,2795,2756,2795,439.91,1219889.56,2773.01
2017-06-08 06:00:00,2794.95,2810,2780,2796.96,448.78,1254643.87,2795.66
2017-06-08 07:00:00,2796.99,2805.27,2755.83,2776.12,611.15,1698361.87,2778.95
2017-06-08 08:00:00,2774.73,2785.94,2773,2785.65,284.26,789803.32,2778.48
2017-06-08 09:00:00,2785.65,2791,2772.01,2789.87,464.64,1291915.23,2780.46
2017-06-08 10:00:00,2787.79,2800,2782,2787.48,586.03,1637133.22,2793.61
2017-06-08 11:00:00,2787.48,2788,2752.95,2754,473.7,1315591,2777.26
2017-06-08 12:00:00,2754,2774.64,2732.97,2764.44,907.93,2501997.4,2755.71
2017-06-08 13:00:00,2762.02,2763.52,2722,2728.05,580.92,1590176.5,2737.33
2017-06-08 14:00:00,2729,2759.98,2700.5,2701.96,1068.96,2927360.44,2738.52
2017-06-08 15:00:00,2706.99,2740.98,2701.97,2736.62,525.09,1431978.4,2727.11
2017-06-08 16:00:00,2736.55,2758.99,2733.52,2743.31,611.57,1679333.4,2745.95
2017-06-08 17:00:00,2745.64,2745.64,2700,2739.99,733.47,1999695.46,2726.35
2017-06-08 18:00:00,2739.99,2749.99,2723.99,2736.04,277.78,760307.82,2737.11
2017-06-08 19:00:00,2736.09,2758,2728.85,2758,408.41,1121547.69,2746.13
2017-06-08 20:00:00,2758,2766,2738.03,2753.54,458.77,1263327.47,2753.75
2017-06-08 21:00:00,2754.21,2787.97,2748.42,2783.02,676.72,1875083.13,2770.84
2017-06-08 22:00:00,2783.01,2815,2772.65,2802.6,692.25,1937530.2,2798.87
